stock_id,stock_name,ISIN_Code,Listing_date,Listing_category,Industry_category,CFICode
1321,大洋,TW0001321008,1999-01-26,上市,塑膠工業,ESVUFR
1342,八貫,TW0001342004,2020-11-24,上市,其他業,ESVUFR
1413,宏洲,TW0001413003,1975-12-23,上市,紡織纖維,ESVUFR
1418,東華,TW0001418002,1977-02-14,上市,紡織纖維,ESVUFR
1435,中福,TW0001435006,1987-12-28,上市,其他業,ESVUFR
1438,三地開發,TW0001438000,1988-12-15,上市,建材營造業,ESVUFR
1443,立益,TW0001443000,1990-04-21,上市,紡織纖維,ESVUFR
1456,怡華,TW0001456002,1993-12-09,上市,紡織纖維,ESVUFR
1468,昶和,TW0001468007,1999-01-21,上市,紡織纖維,ESVUFR
1903,士紙,TW0001903003,1963-12-09,上市,造紙工業,ESVUFR
2008,高興昌,TW0002008000,1988-12-28,上市,鋼鐵工業,ESVUFR
2025,千興,TW0002025004,1996-02-08,上市,鋼鐵工業,ESVUFR
2028,威致,TW0002028008,1996-12-13,上市,鋼鐵工業,ESVUFR
2241,艾姆勒,TW0002241007,2020-08-26,上市,電機機械,ESVUFR
2247,汎德永業,TW0002247004,2020-10-12,上市,汽車工業,ESVUFR
2305,全友,TW0002305000,1988-10-21,上市,電腦及週邊設備業,ESVUFR
2321,東訊,TW0002321007,1991-11-08,上市,通信網路業,ESVUFR
2364,倫飛,TW0002364007,1997-08-11,上市,電腦及週邊設備業,ESVUFR
2371,大同,TW0002371002,1962-02-09,上市,電機機械,ESVUFR
2424,隴華,TW0002424009,2000-09-11,上市,電腦及週邊設備業,ESVUFR
2436,偉詮電,TW0002436003,2000-09-11,上市,半導體業,ESVUFR
2443,億麗,TW0002443009,2001-01-03,上市,其他業,ESVUFR
2491,吉祥全,TW0002491008,2001-09-17,上市,光電業,ESVUFR
3051,力特,TW0003051009,2002-10-28,上市,光電業,ESVUFR
3138,耀登,TW0003138004,2020-12-11,上市,通信網路業,ESVUFR
3701,大眾控,TW0003701009,2004-08-30,上市,電腦及週邊設備業,ESVUFR
3714,富采,TW0003714002,2021-01-06,上市,光電業,ESVUFR
6289,華上,TW0006289002,2003-08-28,上市,光電業,ESVUFR
6515,穎崴,TW0006515000,2021-01-20,上市,半導體業,ESVUFR
6598,ABC-KY,KYG0488D1051,2020-06-09,上市,生技醫療業,ESVUFR
6743,安普新,TW0006743008,2020-12-14,上市,其他電子業,ESVUFR
6754,匯僑設計,TW0006754005,2020-08-25,上市,其他業,ESVUFR
6776,展碁國際,TW0006776008,2021-03-31,上市,電子通路業,ESVUFR
6781,AES-KY,KYG0097V1086,2021-03-22,上市,電子零組件業,ESVUFR
9929,秋雨,TW0009929000,1999-06-28,上市,其他業,ESVUFR
2035,唐榮,TW0002035003,2006-07-07,上櫃,鋼鐵工業,ESVUFR
2754,亞洲藏壽司,TW0002754009,2020-09-17,上櫃,觀光事業,ESVUFR
2755,揚秦,TW0002755006,2020-12-16,上櫃,觀光事業,ESVUFR
3066,李洲,TW0003066007,2004-12-02,上櫃,光電業,ESVUFR
3115,寶島極,TW0003115002,2005-04-08,上櫃,電子零組件業,ESVUFR
3313,斐成,TW0003313003,2006-05-29,上櫃,電子零組件業,ESVUFR
3710,連展投控,TW0003710000,2017-12-29,上櫃,電子零組件業,ESVUFR
3713,新晶投控,TW0003713004,2020-02-27,上櫃,光電業,ESVUFR
4131,晶宇,TW0004131008,2004-04-09,上櫃,生技醫療業,ESVUFR
4147,中裕,TW0004147004,2015-11-23,上櫃,生技醫療業,ESVUFR
4171,瑞基,TW0004171004,2018-03-28,上櫃,農業科技業,ESVUFR
4198,欣大健康,TW0004198007,2014-12-23,上櫃,生技醫療業,ESVUFR
4413,飛寶企業,TW0004413000,1999-07-29,上櫃,紡織纖維,ESVUFR
4419,元勝,TW0004419007,2001-06-26,上櫃,紡織纖維,ESVUFR
4530,宏易,TW0004530001,2001-04-30,上櫃,電機機械,ESVUFR
4945,陞達科技,TW0004945001,2020-11-20,上櫃,半導體業,ESVUFR
5302,太欣,TW0005302004,1991-01-17,上櫃,半導體業,ESVUFR
5309,系統電,TW0005309009,1996-03-18,上櫃,電子零組件業,ESVUFR
5314,世紀,TW0005314009,1996-09-16,上櫃,半導體業,ESVUFR
5321,友銓,TW0005321004,1996-12-30,上櫃,電子零組件業,ESVUFR
5340,建榮,TW0005340004,1998-01-20,上櫃,電子零組件業,ESVUFR
5348,系通,TW0005348007,1998-04-29,上櫃,通信網路業,ESVUFR
5381,合正,TW0005381008,1999-03-19,上櫃,電子零組件業,ESVUFR
5450,南良,TW0005450001,2020-06-01,上櫃,其他業,ESVUFR
5701,劍湖山,TW0005701007,1998-03-12,上櫃,觀光事業,ESVUFR
5902,德記,TW0005902001,1998-02-07,上櫃,貿易百貨業,ESVUFR
6103,合邦,TW0006103005,2001-05-07,上櫃,半導體業,ESVUFR
6113,亞矽,TW0006113004,2001-08-10,上櫃,電子通路業,ESVUFR
6144,得利影,TW0006144009,2002-01-23,上櫃,文化創意業,ESVUFR
6198,凌泰,TW0006198005,2002-12-26,上櫃,半導體業,ESVUFR
6228,全譜,TW0006228000,2003-01-21,上櫃,電腦及週邊設備業,ESVUFR
6236,康呈,TW0006236003,2003-03-31,上櫃,其他業,ESVUFR
6240,松崗,TW0006240005,2003-05-30,上櫃,資訊服務業,ESVUFR
6535,順藥,TW0006535008,2016-09-26,上櫃,生技醫療業,ESVUFR
6649,台生材,TW0006649007,2019-06-05,上櫃,生技醫療業,ESVUFR
6651,全宇昕,TW0006651003,2021-02-01,上櫃,半導體業,ESVUFR
6661,威健生技,TW0006661002,2021-01-27,上櫃,生技醫療業,ESVUFR
6703,軒郁,TW0006703002,2020-10-20,上櫃,生技醫療業,ESVUFR
6712,長聖,TW0006712003,2021-01-08,上櫃,生技醫療業,ESVUFR
6727,亞泰金屬,TW0006727001,2020-12-01,上櫃,電子零組件業,ESVUFR
6728,上洋,TW0006728009,2020-12-25,上櫃,貿易百貨業,ESVUFR
6733,博晟生醫,TW0006733009,2021-01-28,上櫃,生技醫療業,ESVUFR
6747,亨泰光,TW0006747009,2021-01-19,上櫃,生技醫療業,ESVUFR
6751,智聯服務,TW0006751001,2020-12-25,上櫃,資訊服務業,ESVUFR
6752,叡揚,TW0006752009,2020-12-10,上櫃,資訊服務業,ESVUFR
6762,達亞,TW0006762008,2020-12-18,上櫃,生技醫療業,ESVUFR
6767,台微醫,TW0006767007,2021-01-25,上櫃,生技醫療業,ESVUFR
7556,意德士,TW0007556B10,2020-10-30,上櫃,半導體業,ESVUFR
8068,全達,TW0008068008,2004-03-25,上櫃,電子通路業,ESVUFR
8077,洛碁,TW0008077009,2004-12-06,上櫃,觀光事業,ESVUFR
8084,巨虹,TW0008084005,2004-03-08,上櫃,電子通路業,ESVUFR
8089,康全電訊,TW0008089004,2020-09-23,上櫃,通信網路業,ESVUFR
8092,建暐,TW0008092008,2004-02-02,上櫃,其他電子業,ESVUFR
8291,尚茂,TW0008291006,2011-11-29,上櫃,電子零組件業,ESVUFR
