,0,1,2,3,4,5,6
0,有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,備註
1,上櫃認購(售)權證,上櫃認購(售)權證,上櫃認購(售)權證,上櫃認購(售)權證,上櫃認購(售)權證,上櫃認購(售)權證,上櫃認購(售)權證
2,710951　譜瑞中信05購01,TW20Z7109511,2020/05/07,上櫃,,RWSCCE,
3,711573　譜瑞中信06購01,TW20Z7115732,2020/06/02,上櫃,,RWSCCE,
4,711654　元太中信06購01,TW20Z7116540,2020/06/05,上櫃,,RWSCCE,
5,711864　中美晶中信06購01,TW20Z7118645,2020/06/12,上櫃,,RWSCCE,
6,711865　中美晶中信06購02,TW20Z7118652,2020/06/12,上櫃,,RWSCCE,
7,711866　穩懋中信06購01,TW20Z7118660,2020/06/12,上櫃,,RWSCCE,
8,711867　穩懋中信06購02,TW20Z7118678,2020/06/12,上櫃,,RWSCCE,
9,711909　鈊象元富06購01,TW20Z7119098,2020/06/12,上櫃,,RWSCCA,
10,712195　倉和統一04購01,TW20Z7121953,2020/06/24,上櫃,,RWSCCA,
11,712230　鈊象凱基04購01,TW20Z7122308,2020/06/24,上櫃,,RWSCCA,
12,712246　穩懋中信04購01,TW20Z7122464,2020/06/29,上櫃,,RWSCCE,
13,712261　鈊象凱基04購02,TW20Z7122613,2020/06/29,上櫃,,RWSCCA,
14,712294　譜瑞中信06購03,TW20Z7122944,2020/06/30,上櫃,,RWSCCE,
15,712460　鈊象元富07購01,TW20Z7124601,2020/07/03,上櫃,,RWSCCA,
16,712461　鈊象元富07購02,TW20Z7124619,2020/07/03,上櫃,,RWSCCA,
17,712602　信驊元富07購01,TW20Z7126028,2020/07/07,上櫃,,RWSCCA,
18,712612　昇佳電統一05購01,TW20Z7126127,2020/07/07,上櫃,,RWSCCA,
19,712613　昇佳電統一05購02,TW20Z7126135,2020/07/07,上櫃,,RWSCCA,
20,712618　台燿中信05購01,TW20Z7126184,2020/07/07,上櫃,,RWSCCE,
21,712789　M31元富07購01,TW20Z7127893,2020/07/10,上櫃,,RWSCCA,
22,712846　群聯元富07購01,TW20Z7128461,2020/07/13,上櫃,,RWSCCA,
23,712847　鈊象元富07購04,TW20Z7128479,2020/07/13,上櫃,,RWSCCA,
24,712862　穩懋康和07購01,TW20Z7128628,2020/07/13,上櫃,,RWSCCA,
25,712877　博智富邦04購01,TW20Z7128776,2020/07/14,上櫃,,RWSCCA,
26,712916　宏捷科統一04購01,TW20Z7129162,2020/07/14,上櫃,,RWSCCA,
27,712920　精測統一05購01,TW20Z7129204,2020/07/14,上櫃,,RWSCCA,
28,712968　穩懋元富07購01,TW20Z7129683,2020/07/15,上櫃,,RWSCCA,
29,712973　原相凱基05購01,TW20Z7129733,2020/07/15,上櫃,,RWSCCA,
30,712980　精材統一05購01,TW20Z7129808,2020/07/15,上櫃,,RWSCCA,
31,712981　精材統一05購02,TW20Z7129816,2020/07/15,上櫃,,RWSCCA,
32,713040　精材統一07購01,TW20Z7130400,2020/07/16,上櫃,,RWSCCA,
33,713125　世界元富04購01,TW20Z7131259,2020/07/20,上櫃,,RWSCCA,
34,713126　昇佳電元富05購01,TW20Z7131267,2020/07/20,上櫃,,RWSCCA,
35,713127　昇佳電元富05購02,TW20Z7131275,2020/07/20,上櫃,,RWSCCA,
36,713128　昇佳電元富05購03,TW20Z7131283,2020/07/20,上櫃,,RWSCCA,
37,713129　群聯元富07購03,TW20Z7131291,2020/07/20,上櫃,,RWSCCA,
38,713130　鈊象元富07購06,TW20Z7131309,2020/07/20,上櫃,,RWSCCA,
39,713133　新普中信07購01,TW20Z7131333,2020/07/21,上櫃,,RWSCCE,
40,713135　環球晶中信04購01,TW20Z7131358,2020/07/21,上櫃,,RWSCCE,
41,713148　聖暉元富04購01,TW20Z7131481,2020/07/21,上櫃,,RWSCCA,
42,713178　精測元富04購01,TW20Z7131788,2020/07/22,上櫃,,RWSCCA,
43,713179　穩懋元富04購01,TW20Z7131796,2020/07/22,上櫃,,RWSCCA,
44,713180　穩懋元富04購02,TW20Z7131804,2020/07/22,上櫃,,RWSCCA,
45,713231　合晶元富07購01,TW20Z7132315,2020/07/23,上櫃,,RWSCCA,
46,713232　信驊元富07購02,TW20Z7132323,2020/07/23,上櫃,,RWSCCA,
47,713233　宣德元富07購01,TW20Z7132331,2020/07/23,上櫃,,RWSCCA,
48,713234　閎康元富07購01,TW20Z7132349,2020/07/23,上櫃,,RWSCCA,
49,713237　聯亞元富04購01,TW20Z7132372,2020/07/23,上櫃,,RWSCCA,
50,713238　穩懋元富07購02,TW20Z7132380,2020/07/23,上櫃,,RWSCCA,
51,713239　鈊象元富07購08,TW20Z7132398,2020/07/23,上櫃,,RWSCCA,
52,713242　創惟統一04購01,TW20Z7132422,2020/07/24,上櫃,,RWSCCA,
53,713244　信驊凱基04購01,TW20Z7132448,2020/07/24,上櫃,,RWSCCA,
54,713262　宜鼎元富07購01,TW20Z7132620,2020/07/24,上櫃,,RWSCCA,
55,713263　欣銓元富07購01,TW20Z7132638,2020/07/24,上櫃,,RWSCCA,
56,713264　倉和元富07購01,TW20Z7132646,2020/07/24,上櫃,,RWSCCA,
57,713265　海韻電元富07購01,TW20Z7132653,2020/07/24,上櫃,,RWSCCA,
58,713266　緯軟元富07購01,TW20Z7132661,2020/07/24,上櫃,,RWSCCA,
59,713283　M31元富07購02,TW20Z7132836,2020/07/27,上櫃,,RWSCCA,
60,713284　晶焱元富04購01,TW20Z7132844,2020/07/27,上櫃,,RWSCCA,
61,713321　統新統一07購01,TW20Z7133214,2020/07/28,上櫃,,RWSCCA,
62,713322　統新統一07購02,TW20Z7133222,2020/07/28,上櫃,,RWSCCA,
63,713323　統新統一07購03,TW20Z7133230,2020/07/28,上櫃,,RWSCCA,
64,713370　宏捷科元富04購01,TW20Z7133701,2020/07/28,上櫃,,RWSCCA,
65,713371　宜特元富04購01,TW20Z7133719,2020/07/28,上櫃,,RWSCCA,
66,713372　信驊元富07購03,TW20Z7133727,2020/07/28,上櫃,,RWSCCA,
67,713373　統新元富07購01,TW20Z7133735,2020/07/28,上櫃,,RWSCCA,
68,713374　鈺太元富07購01,TW20Z7133743,2020/07/28,上櫃,,RWSCCA,
69,713388　創惟統一06購01,TW20Z7133883,2020/07/29,上櫃,,RWSCCA,
70,713404　力旺元富07購01,TW20Z7134048,2020/07/29,上櫃,,RWSCCA,
71,713408　原相元富07購01,TW20Z7134089,2020/07/29,上櫃,,RWSCCA,
72,713417　精材群益04購01,TW20Z7134170,2020/07/30,上櫃,,RWSCCA,
73,713428　精材元富04購01,TW20Z7134287,2020/07/30,上櫃,,RWSCCA,
74,713439　原相元富07購02,TW20Z7134394,2020/07/31,上櫃,,RWSCCA,
75,713516　譜瑞統一05購01,TW20Z7135169,2020/08/05,上櫃,,RWSCCA,
76,713517　譜瑞統一05購02,TW20Z7135177,2020/08/05,上櫃,,RWSCCA,
77,713527　雙鴻元富08購01,TW20Z7135276,2020/08/06,上櫃,,RWSCCA,
