date,stock_id,year,StockEarningsDistribution,StockStatutorySurplus,StockExDividendTradingDate,TotalEmployeeStockDividend,TotalEmployeeStockDividendAmount,RatioOfEmployeeStockDividendOfTotal,RatioOfEmployeeStockDividend,CashEarningsDistribution,CashStatutorySurplus,CashExDividendTradingDate,CashDividendPaymentDate,TotalEmployeeCashDividend,TotalNumberOfCashCapitalIncrease,CashIncreaseSubscriptionRate,CashIncreaseSubscriptionpRrice,RemunerationOfDirectorsAndSupervisors,ParticipateDistributionOfTotalShares,AnnouncementDate,AnnouncementTime
2005-07-27,1104,93年,1.1,0.0,2005-07-21,0.0,0.0,0.0,0.0,0.0,0.0,,,14594617.0,0.0,0.0,0.0,14594617.0,0.0,2005-07-06,09:02:20
2006-07-28,1104,94年,1.100000023841858,0.0,2006-07-20,0.0,0.0,0.0,0.0,0.0,0.0,,,16103100.0,0.0,0.0,0.0,16103100.0,0.0,2006-06-30,15:32:42
2007-08-06,1104,95年,1.0,0.0,2007-07-31,0.0,0.0,0.0,0.0,0.0,0.0,,,16223200.0,0.0,0.0,0.0,16223200.0,0.0,2007-07-17,17:37:23
2008-08-08,1104,96年,0.800000011920929,0.0,2008-07-31,0.0,0.0,0.0,0.0,0.0,0.0,,,14276400.0,0.0,0.0,0.0,14276400.0,0.0,2008-07-15,09:34:08
2010-07-23,1104,98年,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,2010-07-15,,9637000.0,0.0,0.0,0.0,9637000.0,0.0,2010-06-30,16:56:34
2011-07-29,1104,99年,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,2011-07-21,,19273100.0,0.0,0.0,0.0,19273100.0,0.0,2011-07-06,11:02:27
2012-07-27,1104,100年,0.0,0.0,,0.0,0.0,0.0,0.0,0.6000000238418579,0.0,2012-07-19,,11563900.0,0.0,0.0,0.0,11563900.0,0.0,2012-07-05,10:39:58
2013-07-19,1104,101年,0.0,0.0,,0.0,0.0,0.0,0.0,0.75,0.0,2013-07-11,,14454900.0,0.0,0.0,0.0,14454900.0,0.0,2013-06-26,11:04:03
2014-07-28,1104,102年,0.20000000298023224,0.0,2014-07-22,0.0,0.0,0.0,0.0,0.8999999761581421,0.0,2014-07-22,2014-08-29,21200500.0,0.0,0.0,0.0,21200500.0,0.0,2014-07-08,09:48:26
2015-07-28,1104,103年,0.20000000298023224,0.0,2015-07-22,0.0,0.0,0.0,0.0,1.0,0.0,2015-07-22,2015-08-28,23590300.0,0.0,0.0,0.0,23590300.0,0.0,2015-07-03,09:20:56
2016-07-31,1104,104年,0.10000000149011612,0.0,2016-07-25,0.0,0.0,0.0,0.0,1.0,0.0,2016-07-25,2016-08-26,0.0,0.0,0.0,0.0,0.0,0.0,2016-07-06,15:41:37
2017-07-22,1104,105年,0.30000001192092896,0.0,2017-07-14,0.0,0.0,0.0,0.0,1.2000000476837158,0.0,2017-07-14,2017-08-18,0.0,0.0,0.0,0.0,0.0,0.0,2017-06-29,15:59:16
2018-07-16,1104,106年,0.0,0.0,,0.0,0.0,0.0,0.0,1.100000023841858,0.0,2018-07-10,2018-08-06,0.0,0.0,0.0,0.0,0.0,0.0,2018-06-21,16:59:02
2019-07-21,1104,107年,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,2019-07-15,2019-08-15,0.0,0.0,0.0,0.0,0.0,653609192.0,2019-06-26,17:21:34
2020-07-24,1104,108年,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,2020-07-16,2020-08-12,0.0,0.0,0.0,0.0,0.0,653609192.0,2020-07-01,18:05:30
