date,stock_id,country,revenue,revenue_month,revenue_year
2002-02-01,1453,Taiwan,187036000,1,2002
2002-03-01,1453,Taiwan,152699000,2,2002
2002-04-01,1453,Taiwan,220718000,3,2002
2002-05-01,1453,Taiwan,161883000,4,2002
2002-06-01,1453,Taiwan,166147000,5,2002
2002-07-01,1453,Taiwan,191803000,6,2002
2002-08-01,1453,Taiwan,162810000,7,2002
2002-09-01,1453,Taiwan,136558000,8,2002
2002-10-01,1453,Taiwan,173416000,9,2002
2002-11-01,1453,Taiwan,112864000,10,2002
2002-12-01,1453,Taiwan,134330000,11,2002
2003-01-01,1453,Taiwan,211572000,12,2002
2003-02-01,1453,Taiwan,65220000,1,2003
2003-03-01,1453,Taiwan,71530000,2,2003
2003-04-01,1453,Taiwan,76627000,3,2003
2003-05-01,1453,Taiwan,77931000,4,2003
2003-06-01,1453,Taiwan,62823000,5,2003
2003-07-01,1453,Taiwan,296956000,6,2003
2003-08-01,1453,Taiwan,95764000,7,2003
2003-09-01,1453,Taiwan,56696000,8,2003
2003-10-01,1453,Taiwan,71417000,9,2003
2003-11-01,1453,Taiwan,101143000,10,2003
2003-12-01,1453,Taiwan,72030000,11,2003
2004-01-01,1453,Taiwan,98600000,12,2003
2004-02-01,1453,Taiwan,51047000,1,2004
2004-03-01,1453,Taiwan,87369000,2,2004
2004-04-01,1453,Taiwan,138750000,3,2004
2004-05-01,1453,Taiwan,86171000,4,2004
2004-06-01,1453,Taiwan,59922000,5,2004
2004-07-01,1453,Taiwan,60049000,6,2004
2004-08-01,1453,Taiwan,44000000,7,2004
2004-09-01,1453,Taiwan,26196000,8,2004
2004-10-01,1453,Taiwan,35651000,9,2004
2004-11-01,1453,Taiwan,66680000,10,2004
2004-12-01,1453,Taiwan,39257000,11,2004
2005-01-01,1453,Taiwan,38827000,12,2004
2005-02-01,1453,Taiwan,15498000,1,2005
2005-03-01,1453,Taiwan,5170000,2,2005
2005-04-01,1453,Taiwan,15538000,3,2005
2005-05-01,1453,Taiwan,4995000,4,2005
2005-06-01,1453,Taiwan,4198000,5,2005
2005-07-01,1453,Taiwan,5895000,6,2005
2005-08-01,1453,Taiwan,5156000,7,2005
2005-09-01,1453,Taiwan,2290000,8,2005
2005-10-01,1453,Taiwan,4287000,9,2005
2005-11-01,1453,Taiwan,643000,10,2005
2005-12-01,1453,Taiwan,1964000,11,2005
2006-01-01,1453,Taiwan,1232000,12,2005
2006-02-01,1453,Taiwan,2381000,1,2006
2006-03-01,1453,Taiwan,2643000,2,2006
2006-04-01,1453,Taiwan,1211000,3,2006
2006-05-01,1453,Taiwan,3920000,4,2006
2006-06-01,1453,Taiwan,2810000,5,2006
2006-07-01,1453,Taiwan,4326000,6,2006
2006-08-01,1453,Taiwan,3970000,7,2006
2006-09-01,1453,Taiwan,3718000,8,2006
2006-10-01,1453,Taiwan,3005000,9,2006
2006-11-01,1453,Taiwan,1522000,10,2006
2006-12-01,1453,Taiwan,24978000,11,2006
2007-01-01,1453,Taiwan,21404000,12,2006
2007-02-01,1453,Taiwan,24037000,1,2007
2007-03-01,1453,Taiwan,23596000,2,2007
2007-04-01,1453,Taiwan,36682000,3,2007
2007-05-01,1453,Taiwan,44917000,4,2007
2007-06-01,1453,Taiwan,50218000,5,2007
2007-07-01,1453,Taiwan,43494000,6,2007
2007-08-01,1453,Taiwan,47553000,7,2007
2007-09-01,1453,Taiwan,51903000,8,2007
2007-10-01,1453,Taiwan,45751000,9,2007
2007-11-01,1453,Taiwan,35098000,10,2007
2007-12-01,1453,Taiwan,29774000,11,2007
2008-01-01,1453,Taiwan,236431000,12,2007
2008-02-01,1453,Taiwan,32945000,1,2008
2008-03-01,1453,Taiwan,29517000,2,2008
2008-04-01,1453,Taiwan,253299000,3,2008
2008-05-01,1453,Taiwan,38160000,4,2008
2008-06-01,1453,Taiwan,28129000,5,2008
2008-07-01,1453,Taiwan,112732000,6,2008
2008-08-01,1453,Taiwan,20196000,7,2008
2008-09-01,1453,Taiwan,16979000,8,2008
2008-10-01,1453,Taiwan,83402000,9,2008
2008-11-01,1453,Taiwan,15537000,10,2008
2008-12-01,1453,Taiwan,23319000,11,2008
2009-01-01,1453,Taiwan,18485000,12,2008
2009-02-01,1453,Taiwan,10651000,1,2009
2009-03-01,1453,Taiwan,17265000,2,2009
2009-04-01,1453,Taiwan,53257000,3,2009
2009-05-01,1453,Taiwan,29811000,4,2009
2009-06-01,1453,Taiwan,20481000,5,2009
2009-07-01,1453,Taiwan,47153000,6,2009
2009-08-01,1453,Taiwan,30657000,7,2009
2009-09-01,1453,Taiwan,14695000,8,2009
2009-10-01,1453,Taiwan,28482000,9,2009
2009-11-01,1453,Taiwan,15539000,10,2009
2009-12-01,1453,Taiwan,14521000,11,2009
2010-01-01,1453,Taiwan,87183000,12,2009
2010-02-01,1453,Taiwan,18757000,1,2010
2010-03-01,1453,Taiwan,10520000,2,2010
2010-04-01,1453,Taiwan,18520000,3,2010
2010-05-01,1453,Taiwan,19568000,4,2010
2010-06-01,1453,Taiwan,30161000,5,2010
2010-07-01,1453,Taiwan,40873000,6,2010
2010-08-01,1453,Taiwan,23158000,7,2010
2010-09-01,1453,Taiwan,128728000,8,2010
2010-10-01,1453,Taiwan,38634000,9,2010
2010-11-01,1453,Taiwan,39952000,10,2010
2010-12-01,1453,Taiwan,48753000,11,2010
2011-01-01,1453,Taiwan,41373000,12,2010
2011-02-01,1453,Taiwan,31950000,1,2011
2011-03-01,1453,Taiwan,33585000,2,2011
2011-04-01,1453,Taiwan,48574000,3,2011
2011-05-01,1453,Taiwan,25433000,4,2011
2011-06-01,1453,Taiwan,16794000,5,2011
2011-07-01,1453,Taiwan,4406000,6,2011
2011-08-01,1453,Taiwan,3022000,7,2011
2011-09-01,1453,Taiwan,12646000,8,2011
2011-10-01,1453,Taiwan,13144000,9,2011
2011-11-01,1453,Taiwan,12983000,10,2011
2011-12-01,1453,Taiwan,8371000,11,2011
2012-01-01,1453,Taiwan,8142000,12,2011
2012-02-01,1453,Taiwan,8289000,1,2012
2012-03-01,1453,Taiwan,29326000,2,2012
2012-04-01,1453,Taiwan,41856000,3,2012
2012-05-01,1453,Taiwan,19671000,4,2012
2012-06-01,1453,Taiwan,17877000,5,2012
2012-07-01,1453,Taiwan,78499000,6,2012
2012-08-01,1453,Taiwan,26602000,7,2012
2012-09-01,1453,Taiwan,50131000,8,2012
2012-10-01,1453,Taiwan,134350000,9,2012
2012-11-01,1453,Taiwan,106808000,10,2012
2012-12-01,1453,Taiwan,93517000,11,2012
2013-01-01,1453,Taiwan,87528000,12,2012
2013-02-01,1453,Taiwan,15742000,1,2013
2013-03-01,1453,Taiwan,13623000,2,2013
2013-04-01,1453,Taiwan,15278000,3,2013
2013-05-01,1453,Taiwan,19804000,4,2013
2013-06-01,1453,Taiwan,21457000,5,2013
2013-07-01,1453,Taiwan,35094000,6,2013
2013-08-01,1453,Taiwan,20226000,7,2013
2013-09-01,1453,Taiwan,15673000,8,2013
2013-10-01,1453,Taiwan,17062000,9,2013
2013-11-01,1453,Taiwan,45764000,10,2013
2013-12-01,1453,Taiwan,47158000,11,2013
2014-01-01,1453,Taiwan,29438000,12,2013
2014-02-01,1453,Taiwan,46548000,1,2014
2014-03-01,1453,Taiwan,7061000,2,2014
2014-04-01,1453,Taiwan,6455000,3,2014
2014-05-01,1453,Taiwan,12889000,4,2014
2014-06-01,1453,Taiwan,16797000,5,2014
2014-07-01,1453,Taiwan,9501000,6,2014
2014-08-01,1453,Taiwan,32867000,7,2014
2014-09-01,1453,Taiwan,21922000,8,2014
2014-10-01,1453,Taiwan,24585000,9,2014
2014-11-01,1453,Taiwan,23334000,10,2014
2014-12-01,1453,Taiwan,16206000,11,2014
2015-01-01,1453,Taiwan,15249000,12,2014
2015-02-01,1453,Taiwan,13048000,1,2015
2015-03-01,1453,Taiwan,9340000,2,2015
2015-04-01,1453,Taiwan,8518000,3,2015
2015-05-01,1453,Taiwan,9311000,4,2015
2015-06-01,1453,Taiwan,214216000,5,2015
2015-07-01,1453,Taiwan,42432000,6,2015
2015-08-01,1453,Taiwan,4614000,7,2015
2015-09-01,1453,Taiwan,2246000,8,2015
2015-10-01,1453,Taiwan,3714000,9,2015
2015-11-01,1453,Taiwan,3760000,10,2015
2015-12-01,1453,Taiwan,3038000,11,2015
2016-01-01,1453,Taiwan,3627000,12,2015
2016-02-01,1453,Taiwan,1533000,1,2016
2016-03-01,1453,Taiwan,3361000,2,2016
2016-04-01,1453,Taiwan,5741000,3,2016
