date,stock_id,dividend_yield,PER,PBR
2005-09-05,1435,0.0,0.0,1.34
2005-09-06,1435,0.0,0.0,1.33
2005-09-07,1435,0.0,0.0,1.36
2005-09-08,1435,0.0,0.0,1.39
2005-09-09,1435,0.0,0.0,1.38
2005-09-12,1435,0.0,0.0,1.38
2005-09-13,1435,0.0,0.0,1.34
2005-09-14,1435,0.0,0.0,1.37
2005-09-15,1435,0.0,0.0,1.39
2005-09-16,1435,0.0,0.0,1.35
2005-09-19,1435,0.0,0.0,1.38
2005-09-20,1435,0.0,0.0,1.38
2005-09-21,1435,0.0,0.0,1.36
2005-09-23,1435,0.0,0.0,1.38
2005-09-26,1435,0.0,0.0,1.38
2005-09-27,1435,0.0,0.0,1.38
2005-09-28,1435,0.0,0.0,1.36
2005-09-29,1435,0.0,0.0,1.34
2005-09-30,1435,0.0,0.0,1.37
2005-10-04,1435,0.0,0.0,1.4
2005-10-05,1435,0.0,0.0,1.5
2005-10-06,1435,0.0,0.0,1.56
2005-10-07,1435,0.0,0.0,1.61
2005-10-11,1435,0.0,0.0,1.64
2005-10-12,1435,0.0,0.0,1.64
2005-10-13,1435,0.0,0.0,1.64
2005-10-14,1435,0.0,0.0,1.64
2005-10-17,1435,0.0,0.0,1.71
2005-10-18,1435,0.0,0.0,1.71
2005-10-19,1435,0.0,0.0,1.7
2005-10-20,1435,0.0,0.0,1.7
2005-10-21,1435,0.0,0.0,1.7
2005-10-24,1435,0.0,0.0,1.75
2005-10-25,1435,0.0,0.0,1.77
2005-10-26,1435,0.0,0.0,1.83
2005-10-27,1435,0.0,0.0,1.8
2005-10-28,1435,0.0,0.0,1.8
2005-10-31,1435,0.0,0.0,1.81
2005-11-01,1435,0.0,0.0,1.82
2005-11-02,1435,0.0,0.0,1.8
2005-11-03,1435,0.0,0.0,1.78
2005-11-04,1435,0.0,0.0,1.79
2005-11-07,1435,0.0,0.0,1.8
2005-11-08,1435,0.0,0.0,1.79
2005-11-09,1435,0.0,0.0,1.76
2005-11-10,1435,0.0,0.0,1.79
2005-11-11,1435,0.0,0.0,1.81
2005-11-14,1435,0.0,0.0,1.82
2005-11-15,1435,0.0,0.0,1.82
2005-11-16,1435,0.0,0.0,1.82
2005-11-17,1435,0.0,0.0,1.86
2005-11-18,1435,0.0,0.0,1.91
2005-11-21,1435,0.0,0.0,1.98
2005-11-22,1435,0.0,0.0,2.01
2005-11-23,1435,0.0,0.0,2.01
2005-11-24,1435,0.0,0.0,1.99
2005-11-25,1435,0.0,0.0,1.98
2005-11-28,1435,0.0,0.0,1.94
2005-11-29,1435,0.0,0.0,2.07
2005-11-30,1435,0.0,0.0,2.05
2005-12-01,1435,0.0,0.0,2.05
2005-12-02,1435,0.0,0.0,1.91
2005-12-05,1435,0.0,0.0,1.92
2005-12-06,1435,0.0,0.0,1.9
2005-12-07,1435,0.0,0.0,1.87
2005-12-08,1435,0.0,0.0,1.88
2005-12-09,1435,0.0,0.0,1.87
2005-12-12,1435,0.0,0.0,1.84
2005-12-13,1435,0.0,0.0,1.86
2005-12-14,1435,0.0,0.0,1.9
2005-12-15,1435,0.0,0.0,1.88
2005-12-16,1435,0.0,0.0,1.87
2005-12-19,1435,0.0,0.0,1.88
2005-12-20,1435,0.0,0.0,1.86
2005-12-21,1435,0.0,0.0,1.8
2005-12-22,1435,0.0,0.0,1.74
2005-12-23,1435,0.0,0.0,1.71
2005-12-26,1435,0.0,0.0,1.74
2005-12-27,1435,0.0,0.0,1.74
2005-12-28,1435,0.0,0.0,1.71
2005-12-29,1435,0.0,0.0,1.67
2005-12-30,1435,0.0,0.0,1.67
2006-01-02,1435,0.0,0.0,1.7
2006-01-03,1435,0.0,0.0,1.79
2006-01-04,1435,0.0,0.0,1.78
2006-01-05,1435,0.0,0.0,1.81
2006-01-06,1435,0.0,0.0,1.81
2006-01-09,1435,0.0,0.0,1.79
2006-01-10,1435,0.0,0.0,1.81
2006-01-11,1435,0.0,0.0,1.8
2006-01-12,1435,0.0,0.0,1.84
2006-01-13,1435,0.0,0.0,1.84
2006-01-16,1435,0.0,0.0,1.84
2006-01-17,1435,0.0,0.0,1.77
2006-01-18,1435,0.0,0.0,1.77
2006-01-19,1435,0.0,0.0,1.76
2006-01-20,1435,0.0,0.0,1.75
2006-01-23,1435,0.0,0.0,1.67
2006-01-24,1435,0.0,0.0,1.64
2006-01-25,1435,0.0,0.0,1.66
2006-02-03,1435,0.0,0.0,1.71
2006-02-06,1435,0.0,0.0,1.71
2006-02-07,1435,0.0,0.0,1.74
2006-02-08,1435,0.0,0.0,1.75
2006-02-09,1435,0.0,0.0,1.76
2006-02-10,1435,0.0,0.0,1.81
2006-02-13,1435,0.0,0.0,1.85
2006-02-14,1435,0.0,0.0,1.84
2006-02-15,1435,0.0,0.0,1.86
2006-02-16,1435,0.0,0.0,1.87
2006-02-17,1435,0.0,0.0,1.85
2006-02-20,1435,0.0,0.0,1.81
2006-02-21,1435,0.0,0.0,1.8
