date,stock_id,transaction_type,volume,fee_rate,close,original_return_date,original_lending_period
2010-01-22,1304,議借,82,0.01,20.85,2010-07-22,181
2010-03-04,1304,議借,1727,0.01,20.55,2010-09-03,183
2010-03-16,1304,議借,500,0.01,20.75,2010-09-16,184
2010-07-05,1304,議借,300,0.01,20.05,2011-01-04,183
2010-08-04,1304,議借,89,0.01,22.4,2011-02-04,184
2010-08-11,1304,議借,1200,0.01,22.95,2011-02-11,184
2010-12-03,1304,議借,300,0.01,27.75,2011-06-03,182
2011-01-12,1304,議借,264,0.01,34.0,2011-07-12,181
2011-02-09,1304,議借,42,0.5,42.1,2011-08-08,180
2011-02-23,1304,議借,898,0.01,40.8,2011-08-23,181
2011-03-02,1304,競價,10,1.0,37.6,2011-08-31,182
2011-03-22,1304,議借,50,0.01,40.35,2011-09-22,184
2011-03-23,1304,議借,100,0.01,40.8,2011-09-23,184
2011-03-29,1304,議借,109,0.01,39.6,2011-09-29,184
2011-03-31,1304,議借,70,0.01,40.0,2011-09-30,183
2011-04-12,1304,議借,15,0.5,39.75,2011-10-11,182
2011-05-09,1304,議借,30,0.5,36.7,2011-11-08,183
2011-05-19,1304,競價,10,0.6,36.35,2011-11-18,183
2011-06-01,1304,議借,89,0.01,35.5,2011-12-01,183
2011-08-04,1304,議借,200,0.01,39.75,2012-02-03,183
2011-11-17,1304,議借,116,0.01,30.45,2012-05-17,182
2011-11-28,1304,議借,816,0.01,27.0,2012-05-28,182
2011-12-07,1304,議借,250,0.01,25.35,2012-06-07,183
2011-12-16,1304,議借,40,0.5,23.75,2012-06-15,182
2011-12-16,1304,議借,600,0.01,23.75,2012-06-15,182
2012-02-02,1304,議借,297,4.0,28.3,2012-08-02,182
2012-02-13,1304,議借,500,0.01,28.6,2012-08-13,182
2012-02-17,1304,議借,898,0.01,29.45,2012-08-17,182
2012-02-29,1304,議借,50,2.0,29.7,2012-08-28,181
2012-03-22,1304,議借,200,0.01,29.45,2012-09-21,183
2012-03-28,1304,議借,200,0.01,29.55,2012-09-28,184
2012-04-03,1304,議借,38,0.5,28.4,2012-10-02,182
2012-04-05,1304,議借,500,0.01,27.6,2012-10-05,183
2012-04-20,1304,議借,127,3.0,28.2,2012-10-19,182
2012-04-20,1304,議借,208,3.0,28.2,2012-10-19,182
2012-05-02,1304,議借,150,0.01,28.05,2012-11-02,184
2012-05-18,1304,議借,126,0.01,25.95,2012-11-16,182
2012-05-28,1304,議借,89,0.01,25.95,2012-11-28,184
2012-05-30,1304,議借,10,0.01,26.25,2012-11-30,184
2012-06-06,1304,議借,50,3.0,25.35,2012-12-05,182
2012-06-14,1304,議借,28,0.5,25.8,2012-12-13,182
2012-06-15,1304,議借,1300,0.01,27.15,2012-12-14,182
2012-06-22,1304,議借,180,0.01,26.5,2012-12-22,183
2012-07-05,1304,議借,30,0.01,28.2,2013-01-04,183
2012-07-20,1304,議借,26,0.01,28.3,2013-01-18,182
2012-07-30,1304,競價,500,3.0,28.6,2013-01-29,183
2012-08-20,1304,競價,11,0.6,25.25,2013-02-06,170
2012-08-20,1304,議借,20,0.5,25.25,2013-02-19,183
2012-11-09,1304,議借,300,0.01,22.4,2013-05-09,181
2012-11-14,1304,議借,10,0.5,21.95,2013-05-13,180
2012-11-15,1304,議借,500,0.01,21.7,2013-05-15,181
2012-11-19,1304,議借,10,0.5,22.1,2013-05-17,179
2012-11-28,1304,議借,28,0.5,22.55,2013-05-27,180
2012-12-26,1304,議借,13,0.5,22.95,2013-06-25,181
2013-01-30,1304,議借,100,0.01,23.55,2013-07-30,181
2013-02-01,1304,議借,156,0.01,23.4,2013-08-01,181
2013-02-04,1304,議借,898,0.01,23.55,2013-08-02,179
2013-02-19,1304,議借,720,0.01,23.9,2013-08-19,181
2013-03-26,1304,競價,10,0.6,21.2,2013-09-25,183
2013-03-26,1304,競價,26,1.5,21.2,2013-09-26,184
2013-04-08,1304,議借,188,0.01,20.95,2013-10-08,183
2013-05-08,1304,競價,150,1.5,21.5,2013-11-08,184
2013-05-08,1304,議借,89,0.01,21.5,2013-11-08,184
2013-06-21,1304,議借,594,0.01,21.4,2013-12-20,182
2013-06-28,1304,議借,150,0.01,21.3,2013-12-27,182
2013-07-01,1304,議借,150,0.01,21.6,2014-01-01,184
2013-08-14,1304,議借,2800,0.01,21.15,2014-02-14,184
2013-08-26,1304,議借,212,0.01,20.4,2014-02-26,184
2013-09-09,1304,議借,214,0.01,20.45,2014-03-07,179
2013-09-16,1304,議借,214,0.01,20.4,2014-03-14,179
2013-09-23,1304,議借,200,0.01,20.8,2014-03-21,179
2013-10-07,1304,議借,20,0.5,21.9,2014-04-03,178
2013-10-14,1304,競價,25,1.5,21.45,2014-04-14,182
2013-10-14,1304,議借,15,0.5,21.45,2014-04-11,179
2013-11-14,1304,議借,293,0.01,20.45,2014-05-14,181
2013-11-14,1304,議借,450,0.01,20.45,2014-05-14,181
2014-01-07,1304,議借,10,0.5,21.9,2014-07-04,178
2014-01-22,1304,議借,200,0.01,21.5,2014-07-22,181
2014-01-24,1304,議借,37,2.0,21.3,2014-07-24,181
2014-01-24,1304,議借,898,0.01,21.3,2014-07-24,181
2014-02-06,1304,議借,23,0.5,20.75,2014-08-05,180
2014-02-07,1304,議借,1200,0.01,20.9,2014-08-07,181
2014-02-12,1304,議借,80,0.01,20.95,2014-08-12,181
2014-02-20,1304,議借,230,1.5,20.4,2014-08-20,181
2014-02-26,1304,議借,500,2.0,20.35,2014-08-26,181
2014-03-03,1304,議借,17,0.01,20.35,2014-09-03,184
