date,stock_id,stock_name,InternationalCode,ForeignInvestmentRemainingShares,ForeignInvestmentShares,ForeignInvestmentRemainRatio,ForeignInvestmentSharesRatio,ForeignInvestmentUpperLimitRatio,ChineseInvestmentUpperLimitRatio,NumberOfSharesIssued,RecentlyDeclareDate,note
2004-02-12,1414,東和,TW0001414001,298114752,53462688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-02-13,1414,東和,TW0001414001,298114752,53462688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-02-16,1414,東和,TW0001414001,298114752,53462688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-02-17,1414,東和,TW0001414001,298114752,53462688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-02-18,1414,東和,TW0001414001,298114752,53462688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-02-19,1414,東和,TW0001414001,298114752,53462688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-02-20,1414,東和,TW0001414001,298114752,53462688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-02-23,1414,東和,TW0001414001,298114752,53462688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-02-24,1414,東和,TW0001414001,298043776,53533688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-02-25,1414,東和,TW0001414001,298022784,53554688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-02-26,1414,東和,TW0001414001,298022784,53554688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-02-27,1414,東和,TW0001414001,298022784,53554688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-03-01,1414,東和,TW0001414001,298001760,53575688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-03-02,1414,東和,TW0001414001,298001760,53575688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-03-03,1414,東和,TW0001414001,297999776,53577688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-03-04,1414,東和,TW0001414001,297915776,53661688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-03-05,1414,東和,TW0001414001,297817760,53759688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-03-08,1414,東和,TW0001414001,297694784,53882688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-03-09,1414,東和,TW0001414001,297595776,53981688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-03-10,1414,東和,TW0001414001,297571776,54005688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-03-11,1414,東和,TW0001414001,297522752,54054688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-03-12,1414,東和,TW0001414001,297492768,54084688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-03-15,1414,東和,TW0001414001,297499776,54077688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-03-16,1414,東和,TW0001414001,297582784,53994688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-03-17,1414,東和,TW0001414001,297672768,53904688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-03-18,1414,東和,TW0001414001,297997760,53579688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-03-19,1414,東和,TW0001414001,297967776,53609688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-03-22,1414,東和,TW0001414001,297967776,53609688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-03-23,1414,東和,TW0001414001,297967776,53609688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-03-24,1414,東和,TW0001414001,298006784,53570688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-03-25,1414,東和,TW0001414001,298066752,53510688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-03-26,1414,東和,TW0001414001,298068768,53508688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-03-29,1414,東和,TW0001414001,298068768,53508688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-03-30,1414,東和,TW0001414001,298068768,53508688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-03-31,1414,東和,TW0001414001,298068768,53508688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-04-01,1414,東和,TW0001414001,298121760,53455688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-04-02,1414,東和,TW0001414001,298121760,53455688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-04-05,1414,東和,TW0001414001,298121760,53455688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-04-06,1414,東和,TW0001414001,298121760,53455688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-04-07,1414,東和,TW0001414001,298121760,53455688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-04-08,1414,東和,TW0001414001,298121760,53455688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-04-09,1414,東和,TW0001414001,298121760,53455688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-04-12,1414,東和,TW0001414001,298121760,53455688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-04-13,1414,東和,TW0001414001,298121760,53455688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-04-14,1414,東和,TW0001414001,298121760,53455688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-04-15,1414,東和,TW0001414001,298100768,53476688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-04-16,1414,東和,TW0001414001,298100768,53476688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-04-19,1414,東和,TW0001414001,298100768,53476688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-04-20,1414,東和,TW0001414001,298100768,53476688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-04-21,1414,東和,TW0001414001,298100768,53476688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-04-22,1414,東和,TW0001414001,298100768,53476688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-04-23,1414,東和,TW0001414001,298100768,53476688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-04-26,1414,東和,TW0001414001,298100768,53476688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-04-27,1414,東和,TW0001414001,298100768,53476688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-04-28,1414,東和,TW0001414001,297916768,53660688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-04-29,1414,東和,TW0001414001,297891776,53685688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-04-30,1414,東和,TW0001414001,297891776,53685688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-05-03,1414,東和,TW0001414001,297906752,53670688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
2004-05-04,1414,東和,TW0001414001,297906752,53670688,0.0,0.0,0.0,0.0,351577440,2000-11-16,1
