stock_id,stock_name,date,before_price,after_price,stock_and_cache_dividend,stock_or_cache_dividend,max_price,min_price,open_price,reference_price
6204,艾華,2008-08-07,20.75,18.32,2.43,除權息,19.6,17.05,18.3,18.32
6204,艾華,2009-07-27,19.45,18.1,1.35,除息,19.35,16.85,18.1,18.1
6204,艾華,2010-08-17,35.85,33.85,2.0,除息,36.2,31.5,33.85,33.85
6204,艾華,2011-08-09,27.55,25.35,2.2,除息,27.1,23.6,25.35,25.35
6204,艾華,2012-09-14,25.9,24.3,1.6,除息,26.0,22.6,24.3,24.3
6204,艾華,2013-09-03,25.5,24.5,1.0,除息,26.2,22.8,24.5,24.5
6204,艾華,2014-07-25,27.4,26.3,1.1,除息,28.1,24.5,26.3,26.3
6204,艾華,2015-08-14,23.1,22.1,1.0,除息,24.3,19.9,22.1,22.1
6204,艾華,2016-09-02,20.8,20.1,0.7,除息,22.1,18.1,20.1,20.1
6204,艾華,2017-08-22,22.8,21.8,1.0,除息,23.95,19.65,21.8,21.8
6204,艾華,2018-07-30,29.4,28.3,1.1,除息,31.1,25.5,28.3,28.3
6204,艾華,2019-08-23,22.55,21.55,1.0,除息,23.7,19.4,21.55,21.55
6204,艾華,2020-08-24,41.45,39.45,2.0,除息,43.35,35.55,39.45,39.45
