stock_id,stock_name,date,HoldingSharesLevel,people,percent,unit
6020,大展證,2017-10-06,1-999,1075.0,0.04,116641.0
6020,大展證,2017-10-06,"1,000-5,000",695.0,0.6,1534486.0
6020,大展證,2017-10-06,"10,001-15,000",102.0,0.47,1195179.0
6020,大展證,2017-10-06,"100,001-200,000",24.0,1.28,3231260.0
6020,大展證,2017-10-06,"15,001-20,000",48.0,0.33,841897.0
6020,大展證,2017-10-06,"20,001-30,000",67.0,0.65,1656377.0
6020,大展證,2017-10-06,"200,001-400,000",7.0,0.73,1843096.0
6020,大展證,2017-10-06,"30,001-40,000",26.0,0.35,903449.0
6020,大展證,2017-10-06,"40,001-50,000",15.0,0.26,659880.0
6020,大展證,2017-10-06,"400,001-600,000",2.0,0.4,1017927.0
6020,大展證,2017-10-06,"5,001-10,000",209.0,0.59,1501141.0
6020,大展證,2017-10-06,"50,001-100,000",29.0,0.77,1948053.0
6020,大展證,2017-10-06,"600,001-800,000",0.0,0.0,0.0
6020,大展證,2017-10-06,"800,001-1,000,000",2.0,0.78,1977532.0
6020,大展證,2017-10-06,"more than 1,000,001",10.0,92.69,233926236.0
6020,大展證,2017-10-06,total,2311.0,100.0,252353154.0
6020,大展證,2017-10-20,1-999,1071.0,0.04,115291.0
6020,大展證,2017-10-20,"1,000-5,000",700.0,0.61,1548165.0
6020,大展證,2017-10-20,"10,001-15,000",98.0,0.45,1157049.0
6020,大展證,2017-10-20,"100,001-200,000",24.0,1.26,3180260.0
6020,大展證,2017-10-20,"15,001-20,000",51.0,0.35,894897.0
6020,大展證,2017-10-20,"20,001-30,000",67.0,0.65,1647377.0
6020,大展證,2017-10-20,"200,001-400,000",7.0,0.73,1843096.0
6020,大展證,2017-10-20,"30,001-40,000",29.0,0.39,994449.0
6020,大展證,2017-10-20,"40,001-50,000",14.0,0.24,622880.0
6020,大展證,2017-10-20,"400,001-600,000",2.0,0.4,1017927.0
6020,大展證,2017-10-20,"5,001-10,000",211.0,0.6,1514942.0
6020,大展證,2017-10-20,"50,001-100,000",28.0,0.73,1856053.0
6020,大展證,2017-10-20,"600,001-800,000",0.0,0.0,0.0
6020,大展證,2017-10-20,"800,001-1,000,000",2.0,0.78,1977532.0
6020,大展證,2017-10-20,"more than 1,000,001",10.0,92.72,233983236.0
6020,大展證,2017-10-20,total,2314.0,100.0,252353154.0
6020,大展證,2017-11-03,1-999,1072.0,0.04,114831.0
6020,大展證,2017-11-03,"1,000-5,000",692.0,0.6,1529070.0
6020,大展證,2017-11-03,"10,001-15,000",97.0,0.45,1144049.0
6020,大展證,2017-11-03,"100,001-200,000",24.0,1.24,3140021.0
6020,大展證,2017-11-03,"15,001-20,000",52.0,0.36,911597.0
6020,大展證,2017-11-03,"20,001-30,000",60.0,0.58,1465677.0
6020,大展證,2017-11-03,"200,001-400,000",8.0,0.84,2120335.0
6020,大展證,2017-11-03,"30,001-40,000",30.0,0.41,1038449.0
6020,大展證,2017-11-03,"40,001-50,000",15.0,0.26,673880.0
6020,大展證,2017-11-03,"400,001-600,000",2.0,0.4,1017927.0
6020,大展證,2017-11-03,"5,001-10,000",202.0,0.57,1454497.0
6020,大展證,2017-11-03,"50,001-100,000",28.0,0.72,1831053.0
6020,大展證,2017-11-03,"600,001-800,000",0.0,0.0,0.0
6020,大展證,2017-11-03,"800,001-1,000,000",2.0,0.78,1974532.0
6020,大展證,2017-11-03,"more than 1,000,001",10.0,92.7,233937236.0
6020,大展證,2017-11-03,total,2294.0,100.0,252353154.0
6020,大展證,2017-11-10,1-999,1069.0,0.04,114821.0
6020,大展證,2017-11-10,"1,000-5,000",688.0,0.59,1506080.0
6020,大展證,2017-11-10,"10,001-15,000",97.0,0.45,1147729.0
6020,大展證,2017-11-10,"100,001-200,000",23.0,1.2,3043021.0
6020,大展證,2017-11-10,"15,001-20,000",52.0,0.36,914597.0
6020,大展證,2017-11-10,"20,001-30,000",62.0,0.6,1514677.0
6020,大展證,2017-11-10,"200,001-400,000",8.0,0.85,2167335.0
6020,大展證,2017-11-10,"30,001-40,000",29.0,0.39,1006449.0
6020,大展證,2017-11-10,"40,001-50,000",15.0,0.26,673880.0
6020,大展證,2017-11-10,"400,001-600,000",2.0,0.4,1017927.0
6020,大展證,2017-11-10,"5,001-10,000",203.0,0.57,1459817.0
6020,大展證,2017-11-10,"50,001-100,000",29.0,0.75,1896053.0
6020,大展證,2017-11-10,"600,001-800,000",0.0,0.0,0.0
6020,大展證,2017-11-10,"800,001-1,000,000",2.0,0.78,1973532.0
6020,大展證,2017-11-10,"more than 1,000,001",10.0,92.69,233917236.0
6020,大展證,2017-11-10,total,2289.0,100.0,252353154.0
6020,大展證,2017-11-17,1-999,1072.0,0.04,114916.0
6020,大展證,2017-11-17,"1,000-5,000",684.0,0.59,1499685.0
6020,大展證,2017-11-17,"10,001-15,000",98.0,0.45,1158729.0
6020,大展證,2017-11-17,"100,001-200,000",23.0,1.2,3048021.0
6020,大展證,2017-11-17,"15,001-20,000",52.0,0.36,913897.0
6020,大展證,2017-11-17,"20,001-30,000",60.0,0.57,1459677.0
6020,大展證,2017-11-17,"200,001-400,000",7.0,0.73,1843096.0
6020,大展證,2017-11-17,"30,001-40,000",29.0,0.39,1005449.0
6020,大展證,2017-11-17,"40,001-50,000",16.0,0.28,718880.0
6020,大展證,2017-11-17,"400,001-600,000",3.0,0.56,1418166.0
6020,大展證,2017-11-17,"5,001-10,000",203.0,0.57,1462817.0
6020,大展證,2017-11-17,"50,001-100,000",28.0,0.72,1838053.0
