,Prediction,Answer
0,43.701164,42.85
1,43.72122,41.85
2,43.6861,41.6
3,43.598213,41.8
4,43.51825,40.75
5,43.41078,40.25
6,43.20816,38.85
7,42.967457,37.6
8,42.644375,36.0
9,42.24149,33.6
10,41.690548,36.95
11,41.171898,36.1
12,40.715195,38.25
13,40.416763,38.8
14,40.228233,38.6
15,40.064625,38.95
16,39.906754,39.15
17,39.730392,39.5
18,39.58989,39.0
19,39.481094,39.05
20,39.382343,39.95
21,39.34554,41.0
22,39.404694,40.55
23,39.53088,41.0
24,39.703068,40.8
25,39.926334,41.65
26,40.215473,41.8
27,40.55942,41.85
28,40.884853,42.0
29,41.177456,42.35
30,41.43225,41.8
31,41.653427,41.6
32,41.823006,42.15
33,41.997112,42.0
34,42.16841,42.0
35,42.327724,42.25
36,42.4745,42.55
37,42.612186,43.2
38,42.76371,42.2
39,42.861927,42.85
40,42.95674,42.6
41,43.047752,42.7
42,43.132313,43.0
43,43.21623,43.15
44,43.305317,42.95
45,43.369724,42.9
46,43.410507,42.6
47,43.43935,42.3
48,43.46262,42.35
49,43.47148,43.0
50,43.51166,42.9
51,43.568707,43.0
52,43.616074,42.65
53,43.646484,42.65
54,43.650856,43.0
55,43.671764,42.85
56,43.691917,42.35
57,43.693855,42.55
58,43.686028,43.1
59,43.693356,43.3
60,43.711735,43.65
61,43.759617,43.4
62,43.82295,43.65
63,43.88324,43.95
64,43.955654,43.9
65,44.029453,44.0
66,44.10055,43.3
67,44.153564,42.9
68,44.151333,42.5
69,44.12872,42.85
70,44.11372,42.85
71,44.09839,42.7
72,44.08341,42.55
73,44.075428,42.9
74,44.07379,42.7
75,44.06511,42.85
76,44.04708,42.65
77,44.009464,42.75
78,43.969746,43.1
79,43.935802,43.6
80,43.92539,43.95
81,43.94952,44.4
82,44.00341,44.5
83,44.077957,45.15
84,44.186485,45.3
85,44.336727,44.95
86,44.486053,45.2
87,44.62388,45.3
88,44.75994,45.6
89,44.90985,44.5
90,45.036648,44.8
91,45.1394,45.1
92,45.238415,45.55
93,45.365974,45.5
94,45.49738,45.6
95,45.61633,45.0
96,45.704063,44.6
97,45.75278,44.5
98,45.7628,45.05
99,45.769978,45.35
100,45.788906,45.0
101,45.802864,44.95
102,45.797718,45.4
103,45.803455,46.45
104,45.855106,47.15
105,45.95289,47.1
106,46.072063,46.6
107,46.16562,46.5
108,46.23425,41.0
109,46.085613,41.2
110,45.858788,42.85
111,45.65077,43.35
112,45.524406,44.0
113,45.452805,44.35
114,45.424885,43.5
115,45.393284,44.25
116,45.35898,44.05
117,45.313015,44.1
118,45.266502,44.1
119,45.20218,43.85
120,45.10751,43.5
121,44.975765,42.9
122,44.82302,42.75
123,44.646477,42.65
124,44.48622,42.7
125,44.391018,42.2
126,44.33538,42.7
127,44.295097,42.7
128,44.26501,42.55
129,44.20481,42.45
130,44.122456,42.3
131,44.02838,42.95
132,43.942867,42.7
133,43.87171,42.85
134,43.804455,42.55
135,43.740116,42.5
136,43.67051,42.25
137,43.596043,41.8
138,43.511158,41.0
139,43.410175,40.05
140,43.25371,40.55
141,43.09455,40.95
142,42.965164,41.2
143,42.876053,41.4
144,42.81602,41.0
145,42.75357,41.4
146,42.691242,41.15
147,42.62779,41.15
148,42.556595,40.95
149,42.472927,40.5
150,42.364056,40.5
151,42.252678,40.3
152,42.13138,40.3
153,42.01117,40.45
154,41.917786,40.35
155,41.847263,40.3
156,41.80164,41.0
157,41.781746,40.65
158,41.77582,40.5
159,41.757053,40.5
160,41.718567,40.55
161,41.674957,40.35
162,41.61892,40.55
163,41.566174,40.6
164,41.52381,40.95
165,41.50685,40.9
166,41.512398,41.05
167,41.539745,40.85
168,41.57446,41.15
169,41.624725,41.55
170,41.69107,42.65
171,41.82328,42.4
172,41.98985,42.25
173,42.128105,42.35
174,42.248554,42.75
175,42.37464,42.7
176,42.51479,42.9
177,42.655186,42.7
178,42.78349,43.0
179,42.916588,42.75
180,43.04637,42.6
181,43.159718,42.95
182,43.264793,43.3
183,43.381245,42.9
184,43.50596,43.15
185,43.6047,43.2
186,43.684235,43.5
187,43.780785,43.65
188,43.87795,43.55
189,43.956184,43.6
190,44.015755,43.35
191,44.065315,43.25
192,44.09673,42.9
193,44.112198,42.8
194,44.106323,42.5
195,44.08245,43.05
196,44.0702,42.65
197,44.061527,42.95
198,44.04987,43.5
199,44.054855,42.95
200,44.058556,42.8
201,44.040447,42.7
202,44.011524,42.8
203,43.97329,43.0
204,43.937748,43.0
205,43.90916,43.25
206,43.88743,43.2
207,43.886936,43.2
208,43.89239,43.1
209,43.90158,42.95
210,43.9107,42.85
211,43.917496,42.95
212,43.92119,43.1
213,43.922848,42.7
214,43.916145,42.7
215,43.89903,42.55
216,43.877728,41.95
217,43.840797,41.6
218,43.773354,41.75
219,43.692226,40.95
220,43.59144,40.8
221,43.46447,40.6
222,43.31377,40.9
223,43.1644,40.35
224,43.00929,40.35
225,42.84882,40.25
226,42.683823,40.15
227,42.521564,40.8
